id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
51592,Central City Warehouse Apartment,190879,Michelle,,Melbourne,-37.81266,144.96313,Entire home/apt,259,2,325,2022-02-21,2.42,1,277,52,
66754,Richmond CITY EDGE 60s COOL 1BR+WIFI+AC,50121,The A2C Team,,Yarra,-37.82127,144.99408,Entire home/apt,94,3,70,2020-03-14,0.52,10,0,0,
67211,"Kew Tranquility, Melbourne",326880,Kate,,Boroondara,-37.80347,145.03583,Private room,45,2,182,2022-03-02,1.35,1,355,8,
69421,"Pet Friendly Warm Apmt , Clifton Hill, Melbourne",347754,Wendy,,Yarra,-37.78975,145.00469,Entire home/apt,180,2,1,2016-01-10,0.01,1,354,0,
70004,King Single in Beautiful House,193031,Vicki,,Frankston,-38.14931,145.1419,Private room,69,3,36,2022-03-05,0.37,7,78,1,
72576,Stunning Fitzroy +private bathroom 'Little George',376675,Ramona,,Yarra,-37.80737,144.98054,Private room,100,2,544,2021-05-24,4.09,2,28,9,
74324,Tamerlane: Architect-designed luxury living,390761,Matt,,Yarra,-37.80415,144.97803,Entire home/apt,396,3,69,2021-12-17,0.83,1,315,2,
74959,Blissful Beachside Port Melbourne Warehouse,395864,Linda,,Port Phillip,-37.84098,144.9364,Private room,90,2,108,2020-01-26,0.82,1,36,0,
78143,2 bedrooms-ideal for friends/family in quiet area,419767,Julie,,Stonnington,-37.85162,144.98943,Private room,80,2,156,2022-03-05,1.19,1,335,9,
80986,Richmond CENTRAL PARK EDGE 1BR+WIFI,50121,The A2C Team,,Yarra,-37.81541,145.00157,Entire home/apt,84,3,80,2020-03-24,0.63,10,0,0,
86369,"Sunny 1950s Apartment, St Kilda East 
Longer stays",246509,Fiona,,Glen Eira,-37.87142,145.00785,Entire home/apt,150,21,10,2021-03-05,0.19,1,219,0,
103952,Spacious & Sunny 1BR with Tennis Court & Pool,541584,Felicity,,Port Phillip,-37.83196,144.96959,Entire home/apt,125,7,6,2015-04-06,0.05,1,341,0,
108032,Studio apartment on Collins Street,559227,Malcolm,,Melbourne,-37.81595,144.96606,Entire home/apt,165,2,263,2022-02-06,2.01,1,325,8,
120487,Garden Bungalow with the Possums,606393,Barbara,,Kingston,-37.99031,145.07744,Entire home/apt,96,3,87,2021-08-24,0.69,2,298,6,
133617,Life style on the Beach 豪华的海边生活,646383,Hannah,,Port Phillip,-37.84298,144.94148,Private room,90,3,14,2020-03-01,0.11,1,166,0,
136510,Private Room,668249,Shirley,,Moonee Valley,-37.78133,144.93863,Private room,48,1,10,2018-09-23,0.19,1,0,0,
150729,"Fabulous Fitzroy, gorgeous Gertrude St.   No Ikea!",376675,Ramona,,Yarra,-37.80518,144.9805,Private room,90,2,581,2021-05-08,4.49,2,29,2,
157427,"Stone's Throw Studio, Belgrave",717024,Margaret,,Yarra Ranges,-37.90605,145.35069,Entire home/apt,160,1,47,2022-03-01,0.37,2,307,6,
161033,Healesville Yarra Valley Cottage,770883,Karen,,Yarra Ranges,-37.63282,145.49766,Entire home/apt,95,2,251,2022-03-06,1.96,1,106,12,
161404,"Handy Location, 5Beds, 3bath, 10km to CBD, Austin",772011,Alice,,Banyule,-37.75773,145.03833,Entire home/apt,146,4,48,2022-02-16,0.89,1,36,15,
163077,Elwood CHIC 1BR+WALK TO VILLAGE+WIFI,50121,The A2C Team,,Port Phillip,-37.8786,144.9913,Entire home/apt,89,3,59,2020-03-29,0.46,10,0,0,
173426,Beautiful Northcote home with heart -close to city,804527,Tania,,Darebin,-37.76434,144.98624,Private room,40,1,18,2020-01-23,0.14,1,0,0,
189293,A POP-UP BEDROOM NEAR CITY AND AIRPORT,182833,Diana,,Darebin,-37.69879,145.00193,Private room,35,2,1,2017-05-07,0.02,2,0,0,
210568,"Carnarvon, Armadale/St KldaE/Caulfl",1038237,Ian,,Glen Eira,-37.86717,145.02877,Private room,60,3,22,2019-09-26,0.17,2,0,0,
213348,Large room in quiet Victorian home,689924,Adrian,,Port Phillip,-37.8587,144.98785,Private room,90,3,3,2018-03-25,0.05,1,365,0,
214565,Warm and inviting cottage in the North East,1107678,Helen,,Banyule,-37.7137,145.1238,Private room,40,1,0,,,1,0,0,
229430,ROOM IN MODERN TOWNHOUSE Melbourne,1198300,Daniela,,Boroondara,-37.8317,145.04922,Private room,49,2,23,2015-04-25,0.18,1,67,0,
230790,Clarelee - Belgrave Accommodation,1197236,Clarelee,,Yarra Ranges,-37.90514,145.35261,Entire home/apt,564,2,81,2022-01-16,0.89,2,304,4,
232088,VERY QUIET  2 Bedrooms  2 Bathrooms BIG Kitchen,1214242,Mal,,Moreland,-37.71096,144.9518,Entire home/apt,149,2,21,2020-03-08,0.17,8,251,0,
232812,Parkland apartment on edge of CBD,950667,Rosemary,,Melbourne,-37.78398,144.9574,Entire home/apt,190,2,8,2018-02-28,0.06,1,0,0,
240410,Beautifully Appointed Apt - Central,1260586,Neil,,Melbourne,-37.80455,144.95113,Entire home/apt,135,2,86,2022-02-19,0.74,1,332,9,
244872,Cool spot near chapel st!,605990,Jenny,,Stonnington,-37.85068,145.00858,Private room,73,1,0,,,1,365,0,
244952,Treehouse apartment in Fitzroy,287730,Rebecca,,Yarra,-37.80428,144.97916,Entire home/apt,120,5,289,2021-11-06,2.29,1,105,7,
247140,Self Contained Apartment (CBD Edge),1296115,Fiona,,Melbourne,-37.81574,144.97683,Entire home/apt,225,3,84,2021-12-28,0.67,1,295,3,
248235,Gorgeous home with pool. Central location!!,1300846,Ayelet,,Glen Eira,-37.86543,145.01735,Entire home/apt,550,4,14,2021-01-09,0.13,1,62,0,
415272,"Great location! Easy access to CBD, Aus. Open.",228082,Mem,,Boroondara,-37.84503,145.05399,Private room,50,2,1,2019-05-11,0.03,1,0,0,
419490,Very Large 2 Bdrm Apt in Melbourne!,2068905,Victoria,,Moonee Valley,-37.7853,144.9271,Entire home/apt,150,7,3,2016-07-30,0.03,1,0,0,
438849,Grand Old Victorian Hawthorn Home,2180044,Ian,,Boroondara,-37.82334,145.05813,Entire home/apt,200,10,4,2017-12-30,0.04,1,0,0,
9835,Beautiful Room & House,33057,Manju,,Manningham,-37.77247,145.09232,Private room,60,1,4,2015-09-12,0.03,1,365,0,
10803,Room in Cool Deco Apartment in Brunswick East,38901,Lindsay,,Moreland,-37.76606,144.97951,Private room,28,4,145,2020-04-08,1.30,1,311,0,
12936,St Kilda 1BR+BEACHSIDE+BALCONY+WIFI+AC,50121,The A2C Team,,Port Phillip,-37.85999,144.97662,Entire home/apt,95,3,42,2020-03-15,0.30,10,0,0,
33111,Million Dollar Views Over Melbourne,143550,Paul,,Melbourne,-37.82163,144.96672,Private room,1000,1,2,2012-01-27,0.02,1,325,0,
38271,Melbourne - Old Trafford Apartment,164193,Daryl & Dee,,Casey,-38.05725,145.33936,Entire home/apt,110,1,175,2022-02-23,1.27,1,311,19,
41836,CLOSE TO CITY & MELBOURNE AIRPORT,182833,Diana,,Darebin,-37.69729,145.00082,Private room,40,7,159,2018-08-22,1.15,2,0,0,
43429,Tranquil Javanese-Style Apartment in Oakleigh East,189684,Allan,,Monash,-37.8996,145.11447,Entire home/apt,100,2,223,2022-02-18,1.63,3,264,12,
44082,Queen Room in Beautiful House,193031,Vicki,,Frankston,-38.14932,145.14157,Private room,79,4,53,2022-01-31,0.39,7,51,2,
251354,Inner city Warehouse Garden of Eden,1318256,Elana,,Stonnington,-37.85925,145.02346,Entire home/apt,223,1,8,2020-12-04,0.07,1,85,0,
251965,Private room in Elwood,725136,Nathan,,Port Phillip,-37.87833,144.98824,Entire home/apt,240,1,0,,,1,0,0,
256186,Collingwood 2 bedrm Warehouse Apt,1344893,Hoang And Michael,,Yarra,-37.80237,144.9835,Entire home/apt,110,6,173,2022-02-06,1.40,1,308,15,
263871,In The Heart Of The City- Melbourne,1384456,Eliisa,,Melbourne,-37.8169,144.96057,Entire home/apt,131,7,44,2022-02-25,0.40,1,281,3,
268525,Home 20mins (CBD) near Box Hill (private home),1179603,Anita,,Whitehorse,-37.8129,145.14081,Private room,62,14,0,,,1,270,0,
268620,nice room,1407948,Richard,,Melton,-37.73994,144.73881,Private room,72,1,0,,,1,365,0,
268849,"Unique, Intimately Styled South Yarra Sanctuary",1408673,Little Journey,,Stonnington,-37.83663,144.99344,Entire home/apt,153,1,595,2022-02-19,4.77,1,16,39,
277605,Angelus Retreat @ Mount Dandenong,1448773,Margaret Jiin,,Yarra Ranges,-37.9056,145.39525,Entire home/apt,270,2,15,2022-01-10,0.12,2,362,1,
280698,Elwood SPACIOUS OPEN PLAN EXEC 2BR+PARKING+WIFI+AC,50121,The A2C Team,,Port Phillip,-37.87322,144.98937,Entire home/apt,169,3,62,2020-01-02,0.62,10,0,0,
283257,sunlit studio down a quiet laneway,1475619,Lulu,,Yarra,-37.80582,144.98078,Entire home/apt,140,3,129,2020-03-15,1.43,1,173,0,
284210,Fitzroyalty - stylish and central,1480426,Kate,,Yarra,-37.79951,144.97948,Entire home/apt,245,2,34,2020-03-15,0.35,1,0,0,
289467,The Suite @ Angelus Retreat,1448773,Margaret Jiin,,Yarra Ranges,-37.90546,145.39447,Entire home/apt,270,2,6,2021-12-28,0.07,2,365,1,
297350,"Best, west of Melbourne-Wifi & Spa1",1533260,Ryan,,Brimbank,-37.78374,144.75729,Private room,47,1,290,2022-03-04,2.35,7,343,10,
300679,Comfy room in Oakleigh South Melbourne,1505279,Julie,,Kingston,-37.94,145.09679,Private room,35,2,66,2021-05-07,0.55,1,281,2,
309093,Savour 180-Degree Urban Views at a Triple Level Loft,1349266,Adam + Caro,,Yarra,-37.81967,144.99957,Entire home/apt,245,2,24,2020-02-02,0.61,1,0,0,
313648,"(1) Stylish, East Melb 1bed apt",1612516,Haydn,,Melbourne,-37.81362,144.98665,Entire home/apt,104,6,60,2022-02-27,0.49,5,37,13,
315513,"Best, west of Melbourne-Wifi & spa2",1533260,Ryan,,Brimbank,-37.78374,144.75728,Private room,50,1,100,2020-03-08,0.81,7,342,0,
317239,Inner City Home-6 stops by train to Melbourne CBD,1628602,Jacqueline,,Hobsons Bay,-37.82964,144.87163,Private room,95,3,0,,,1,365,0,
323280,Classic Victorian Armadale Home :) Victorian House,1608157,Fay,,Stonnington,-37.85996,145.02119,Private room,75,1,46,2019-01-23,0.38,3,365,0,
334891,Attractive room in leafy Deepdene,1705701,Veruschka,,Boroondara,-37.81288,145.06382,Private room,85,1,4,2019-02-23,0.05,1,365,0,
363060,SUNLIT Kitchen/Vegie Garden/CLEAN,1835097,Rovielle,,Wyndham,-37.84545,144.71638,Private room,70,3,0,,,1,365,0,
381690,Renovated Art Deco fully furnished,1914257,Shelly,,Port Phillip,-37.86226,144.99778,Entire home/apt,95,7,43,2022-01-29,0.38,1,322,5,
386252,"Room for rent, townhouse in Kew",381584,F,,Boroondara,-37.80873,145.03904,Shared room,100,30,0,,,1,364,0,
394600,Quiet one-bedroom apartment,485320,Julie,,Moreland,-37.76925,144.95275,Entire home/apt,115,2,265,2022-03-02,2.20,1,281,24,
405515,"PRIVATE UNIT Dble bed   Kitch, own bathroom",1214242,Mal,,Moreland,-37.71145,144.95273,Entire home/apt,89,2,5,2018-09-26,0.04,8,251,0,
438899,Uber-Cool Loft-South Melbourne-Wkly&Mthly Pricing,1777499,Belinda,,Port Phillip,-37.835,144.96252,Entire home/apt,300,2,204,2021-12-20,1.78,1,345,7,
448025,Straw and Earth room in Eco home,2225077,Paul,,Moreland,-37.73723,144.93402,Private room,57,1,26,2022-02-21,0.26,4,175,1,
